GEOID,NAME,pct_voted,pct_rental,median_incomeE,pct_voted_ipums,pct_voted_ipums_se
17097,"Lake County, Illinois",0.7115644636176451,0.2699596135249998,37491,0.36955193161449146,0.035032407311592094
18019,"Clark County, Indiana",0.6589501252562059,0.28864253393665157,30746,0.5587549676923383,0.10634342468984648
18063,"Hendricks County, Indiana",0.7408073925889965,0.2153520291451326,38755,0.45331718048233083,0.07251568662384474
13117,"Forsyth County, Georgia",0.8948009438989115,0.15958985316534857,44964,0.5694934736467266,0.0840892652419593
19163,"Scott County, Iowa",0.7241878216257644,0.3097835006938124,32801,0.5824536992883943,0.06038152409315202
06099,"Stanislaus County, California",0.6332737241222863,0.4216379716845507,27840,0.36604248777084275,0.044277606717418067
06083,"Santa Barbara County, California",0.7105882937141317,0.4793152150065818,29657,0.3957186800766606,0.050061378629239546
13077,"Coweta County, Georgia",0.740202787362415,0.2717209570481407,34846,0.15829658662117127,0.07370999419240025
13057,"Cherokee County, Georgia",0.8298191735612953,0.2324562896399923,36920,0.5384920734444747,0.05653649457979761
13113,"Fayette County, Georgia",0.8835556755562647,0.18046419262752886,41364,0.4803455252084575,0.10341590864342395
15003,"Honolulu County, Hawaii",0.541389668168551,0.43812720791572757,36957,0.44846160690137576,0.015595482585667224
41039,"Lane County, Oregon",0.7601095774223997,0.4133160880298335,26061,0.43658773604963036,0.038639942450711555
06067,"Sacramento County, California",0.689598243081365,0.4358933750748124,32275,0.5211727663708369,0.02456690273330969
06017,"El Dorado County, California",0.8074391252667505,0.24268041818130584,36682,0.7875545218802893,0.054362103387065396
06053,"Monterey County, California",0.7069546991443555,0.489599307931265,28207,0.4026155147070476,0.04733058121004638
06075,"San Francisco County, California",0.6798278486134548,0.6240168454053219,52677,0.5333221745283807,0.03988994903884754
06073,"San Diego County, California",0.7070981551769794,0.46670979644285987,34307,0.5089663238041884,0.018099521653588423
06107,"Tulare County, California",0.5717060297986953,0.4294911674069359,22994,0.4266126200857035,0.05514176774499035
06087,"Santa Cruz County, California",0.75099164683373,0.39926736103863575,31174,0.5456976097455032,0.05578492060948252
06061,"Placer County, California",0.8246391300534947,0.28143922158832385,41130,0.4612068498826493,0.05100260851097657
06089,"Shasta County, California",0.6822503322051817,0.36011014175131006,27000,0.43805634658198683,0.04553319262472566
06095,"Solano County, California",0.6660552120841543,0.38511994128048577,36273,0.44607115886745835,0.0496894086839859
42045,"Delaware County, Pennsylvania",0.7866184361709528,0.3121486849660084,35628,0.618377120156626,0.05474302098428149
51013,"Arlington County, Virginia",0.7852145032161969,0.5725390537409373,70148,0.7405047120112931,0.067153853777344
51179,"Stafford County, Virginia",0.7740364520048603,0.22619224641529473,45929,0.4650088043973749,0.1237030189336232
51760,"Richmond city, Virginia",0.628663353180325,0.5737145768042435,26454,0.5421657691434436,0.07158470633424459
47165,"Sumner County, Tennessee",0.6821713418810342,0.2637541176645948,32203,0.43058217093059153,0.05731596634543548
17163,"St. Clair County, Illinois",0.651623832488859,0.3480716584217857,30310,0.5646793903076859,0.06014674161856834
42017,"Bucks County, Pennsylvania",0.829352628813868,0.2301930243269271,40466,0.611148394659442,0.047495319157830666
45091,"York County, South Carolina",0.7408112152800992,0.280147414806691,32174,0.4035036884031093,0.040759689269510437
06007,"Butte County, California",0.5895032315076326,0.4100914205344585,24067,0.4613990853862398,0.057983348575250955
06031,"Kings County, California",0.4706570376967733,0.47682500230139,26841,0.2706916674840615,0.053196491147119364
06079,"San Luis Obispo County, California",0.7300877674163467,0.3843424764816335,31938,0.6663833965310659,0.060345882906644624
06019,"Fresno County, California",0.6196818356263946,0.4669671912856521,25238,0.311600113525003,0.03484692558437818
06029,"Kern County, California",0.5850085942754653,0.4170754989233467,25013,0.32064187868055205,0.030889579783519038
06059,"Orange County, California",0.7387287916371625,0.4262394312438072,36135,0.45821785303617146,0.018241954398071122
06111,"Ventura County, California",0.7506986339797104,0.3684548406139315,33814,0.5497330605381036,0.03353931150658198
06081,"San Mateo County, California",0.7462870201242712,0.398416956625674,49128,0.38633980696462505,0.037547412381609
06077,"San Joaquin County, California",NA,0.43378090450502477,29535,0.3289589514032383,0.03763176586822685
08031,"Denver County, Colorado",0.7784889570637037,0.5012222181684306,39806,0.6076749082215618,0.03957957208174575
08123,"Weld County, Colorado",0.798597692793327,0.2708486591319468,34305,0.596236703508701,0.06930341193859213
08069,"Larimer County, Colorado",0.8414115917350846,0.3496033454725918,32905,0.6279670993489123,0.054508946666017785
10005,"Sussex County, Delaware",0.7449521418122761,0.19738922756469676,31752,0.522067550516958,0.026461285956246493
09009,"New Haven County, Connecticut",0.6578959380356443,0.38152354101375796,35721,0.43493830638370606,0.03298421772934398
47125,"Montgomery County, Tennessee",0.5377431852095754,0.40450583196772105,31030,0.5409791563397996,0.048814425506617
36081,"Queens County, New York",0.5680922278066294,0.5522946804085594,31992,0.31536308636754135,0.022760987898535926
36061,"New York County, New York",0.5956968133759903,0.7593079293181998,50985,0.4910438467657286,0.028397585007255643
36087,"Rockland County, New York",0.7274120773248635,0.31708118441227423,39095,0.5359032252204112,0.061809299258357576
36059,"Nassau County, New York",0.7643824640153711,0.19329629936215958,45285,0.5420506894113211,0.027178529603686833
36103,"Suffolk County, New York",0.7054526939541829,0.19428736094959953,41227,0.44159358811096305,0.025894605998130402
36071,"Orange County, New York",0.6462938930159015,0.33145856767904014,35300,0.5820143626432113,0.05773512986022678
37067,"Forsyth County, North Carolina",0.7470242624216399,0.38427010680034873,29380,0.5953995465786451,0.05869387757954432
