GEOID,NAME,pct_voted,pct_rental,median_incomeE
17051,"Fayette County, Illinois",0.5906607929515418,0.1950368359829391,24407
17107,"Logan County, Illinois",0.573957343925395,0.27257571547652126,30474
17165,"Saline County, Illinois",0.590785329133522,0.2547131969514641,24185
17097,"Lake County, Illinois",0.7115644636176451,0.2699596135249998,37491
17127,"Massac County, Illinois",0.623729744575666,0.2451047749914119,23617
17017,"Cass County, Illinois",0.6207822533566841,0.2540154669839381,29595
18069,"Huntington County, Indiana",0.6323461606667848,0.24535341202007868,28502
18181,"White County, Indiana",0.6260021304030947,0.2245166514829436,29443
18075,"Jay County, Indiana",0.5473187140177243,0.2698801076584292,26060
18145,"Shelby County, Indiana",0.5954309882647286,0.26701453178477247,31848
18153,"Sullivan County, Indiana",0.5413180860668071,0.2562794348508634,25703
18157,"Tippecanoe County, Indiana",0.5275251033668045,0.44916768284037095,24925
18057,"Hamilton County, Indiana",0.8630194269343524,0.23053034919733864,46631
18005,"Bartholomew County, Indiana",0.6409303970991421,0.2855780236550935,31874
18049,"Fulton County, Indiana",0.6100440176070429,0.2534940376971407,27488
18113,"Noble County, Indiana",0.5630538113960448,0.23385861238783104,30171
18019,"Clark County, Indiana",0.6589501252562059,0.28864253393665157,30746
18063,"Hendricks County, Indiana",0.7408073925889965,0.2153520291451326,38755
18053,"Grant County, Indiana",0.5212559737443141,0.3157136356741999,23127
18071,"Jackson County, Indiana",0.6010184635571245,0.27941264251178893,28439
18119,"Owen County, Indiana",0.6071603727317313,0.20806745670009116,26749
18183,"Whitley County, Indiana",0.6806234007908816,0.17821277834376364,32719
18023,"Clinton County, Indiana",0.5845521849042976,0.2942740796143937,28155
18161,"Union County, Indiana",0.6348888078745899,0.28019837052780727,27248
18029,"Dearborn County, Indiana",0.6678330877709956,0.20365659777424483,31366
18093,"Lawrence County, Indiana",0.5967416910282973,0.2302326819658165,27398
18123,"Perry County, Indiana",0.5838800374882849,0.22258699934340118,28928
18129,"Posey County, Indiana",0.669770266167392,0.182767109798129,31535
18015,"Carroll County, Indiana",0.6180835828668142,0.19307673081729568,30193
18045,"Fountain County, Indiana",0.6306562425965411,0.23831373673644968,28168
18149,"Starke County, Indiana",0.5915833045877888,0.19850274885951574,25585
18055,"Greene County, Indiana",0.5918334667734187,0.20389640873171114,26319
19011,"Benton County, Iowa",0.751488400739068,0.17155055307587813,34887
19061,"Dubuque County, Iowa",0.7343264883708263,0.26660560062810784,31437
19151,"Pocahontas County, Iowa",0.7390295766479799,0.22737169517884914,30587
19177,"Van Buren County, Iowa",0.6935601902671057,0.18693849343469246,25755
19003,"Adams County, Iowa",0.7466297960594539,0.18272841051314143,30028
19009,"Audubon County, Iowa",0.7748074309016765,0.232163080407701,28804
19051,"Davis County, Iowa",0.6531847133757962,0.14798488664987405,30912
19093,"Ida County, Iowa",0.7345419847328244,0.2444370640983062,32594
19135,"Monroe County, Iowa",0.6859060402684564,0.20097146326654525,32954
19167,"Sioux County, Iowa",0.7955152831134124,0.19660352710646636,30737
19025,"Calhoun County, Iowa",0.6885804085908853,0.21177038109020743,27215
19033,"Cerro Gordo County, Iowa",0.707794331935647,0.3089236526168079,31419
19083,"Hardin County, Iowa",0.6794920250963792,0.25111919418019024,30203
19117,"Lucas County, Iowa",0.7170512621960663,0.21858957038638205,31208
19147,"Palo Alto County, Iowa",0.7383469843633657,0.27660723933009185,30217
19087,"Henry County, Iowa",0.655201837873318,0.2882603641999225,28551
19099,"Jasper County, Iowa",0.7093055946021929,0.2549746123233155,30938
19157,"Poweshiek County, Iowa",0.7025566410309707,0.31414960731299085,30154
19043,"Clayton County, Iowa",0.7034755829300484,0.25472703062583224,27442
19017,"Bremer County, Iowa",0.7590669519386317,0.17321207110376188,33610
19063,"Emmet County, Iowa",0.6715096167150961,0.21902874132804756,27184
19081,"Hancock County, Iowa",0.7445114595898673,0.22922755741127349,31690
19097,"Jackson County, Iowa",0.7444177029014574,0.20985556499575192,32335
19111,"Lee County, Iowa",0.6277525603031099,0.25588421274502915,26580
19181,"Warren County, Iowa",0.8303416173992135,0.20993872676290373,39189
19123,"Mahaska County, Iowa",0.6827516015087111,0.3098465329898062,27150
19041,"Clay County, Iowa",0.7295428664389133,0.3227953410981697,27708
19055,"Delaware County, Iowa",0.7694023536651027,0.1563631098885189,31467
13005,"Bacon County, Georgia",0.579659754128896,0.27594217862674236,22385
13025,"Brantley County, Georgia",0.5486612834679133,0.19654111094826324,20927
13017,"Ben Hill County, Georgia",0.529886914378029,0.41160949868073876,20795
13033,"Burke County, Georgia",0.653775547668584,0.29207860368607347,25474
13047,"Catoosa County, Georgia",0.6445635407190602,0.2598676245056098,27313
13053,"Chattahoochee County, Georgia",0.1934221787504585,0.7540856031128405,24681
13055,"Chattooga County, Georgia",0.5406423153477863,0.3180345572354212,21970
13073,"Columbia County, Georgia",0.7479926109517577,0.20489251297257227,36592
13087,"Decatur County, Georgia",0.5920362543917714,0.42512891709639034,24110
13115,"Floyd County, Georgia",0.5935130821410249,0.3895568821996132,24845
13117,"Forsyth County, Georgia",0.8948009438989115,0.15958985316534857,44964
13137,"Habersham County, Georgia",0.6333343665726419,0.21738556047295066,25266
13147,"Hart County, Georgia",0.6281526084596022,0.25200446564498125,24057
13185,"Lowndes County, Georgia",0.5399722762589257,0.47684220725740034,24530
13191,"McIntosh County, Georgia",0.5702120412160436,0.2024164184045018,27312
13199,"Meriwether County, Georgia",0.663110406632933,0.31511613464165944,21327
13207,"Monroe County, Georgia",0.7366183209713233,0.20850409836065573,27473
